product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
1681461,225200,1230,5.0,105,22,3,3,26
1337733,83900,2394,5.0,209,16,5,2,75
278698572,115370,11,5.0,1,17,0,0,1
278160712,83930,18,5.0,2507,23,32,29,221
278116070,129000,19,4.0,2,0,1,0,0
277596870,80000,87,5.0,531,33,5,8,103
277441653,254600,45,5.0,3,25,0,0,3
277410869,97300,109,5.0,7,30,0,0,1
276933577,48000,48,5.0,49,26,2,1,8
276653138,121000,84,4.8,5,28,0,0,1
275104696,165000,162,5.0,19,25,0,1,5
273457383,116700,138,4.5,41,22,6,1,8
271122419,152300,285,5.0,84,26,0,1,21
267340202,239700,76,5.0,7,23,0,0,1
254078276,299000,224,5.0,14,0,1,0,4
249960247,149000,3251,5.0,188,25,4,3,43
194960720,186000,637,5.0,61,24,3,0,14
188930500,51000,885,5.0,83,2,0,0,19
176824195,159500,662,5.0,36,22,1,0,7
174449882,142200,403,5.0,19,27,0,0,1
170706974,144300,664,5.0,22,24,0,0,3
170094972,200200,971,4.8,106,23,3,8,31
114447395,52500,620,5.0,119,30,2,3,44
109298270,63000,1132,4.8,99,7,3,4,29
105614684,12600,13773,4.8,503,0,15,14,113
105078425,62000,220,5.0,9,21,0,0,2
78975583,44660,233,5.0,30,23,0,1,10
77112144,45000,1026,4.8,172,24,3,11,62
63473605,74800,5550,5.0,816,31,15,15,185
54002545,84000,514,4.8,45,24,3,1,17
38223395,67700,2662,4.8,407,24,14,15,97
34745639,315000,183,4.8,22,10,0,0,9
16391543,115500,5516,5.0,301,23,10,5,126
13105198,139000,7360,4.8,729,7,8,18,155
8818431,90090,558,5.0,68,23,2,4,34
7496289,84000,967,4.8,95,27,2,1,22
5402867,66100,545,5.0,24,33,2,1,9
278485852,82000,150,5.0,6,7,0,0,3
278090763,366000,81,5.0,288,23,8,5,79
277923262,109000,47,4.5,2,25,0,0,1
277776208,269000,137,5.0,12,25,0,0,2
277742612,132100,72,5.0,7,30,0,0,1
276799236,155600,59,5.0,3,32,0,0,1
276546963,79000,404,5.0,38,25,2,0,6
276231113,152460,169,5.0,18,23,1,0,2
275703757,67700,418,5.0,6,24,0,0,1
274069249,70000,125,5.0,5,30,0,0,1
273899200,208000,195,4.7,1730,34,28,20,199
271950437,59500,59,5.0,6,30,0,0,2
271317433,122300,160,4.7,14,15,0,1,1
262590381,41400,108,4.8,28,8,3,1,7
253129523,164400,1327,4.8,85,13,5,0,14
204771676,175000,664,5.0,71,34,3,1,23
200938543,139000,133,5.0,10,22,0,2,2
194103345,1698000,174,4.6,31,32,5,0,9
191148988,166000,476,5.0,51,24,1,1,8
190701644,91630,973,5.0,87,23,2,2,25
186265449,93000,1321,4.8,50,25,3,0,10
185409955,9000,302,5.0,36,0,1,1,12
184782104,129360,1631,5.0,124,23,4,7,44
159388992,79000,35,5.0,2,0,0,0,2
132355740,107000,281,5.0,30,14,0,0,7
109765020,50400,1902,5.0,148,30,3,5,36
58390336,125000,4481,4.8,909,0,24,22,139
3671663,37900,800,5.0,103,16,0,2,42
1954475,125700,1562,4.6,151,26,10,10,61
1215677,10000,884,5.0,7,23,0,0,6
278638933,145530,84,5.0,7,23,1,0,2
278521559,89600,29,4.3,3,30,0,1,0
278373362,115500,40,4.6,7,23,0,0,3
276302717,190500,79,5.0,7,29,0,0,2
276286331,103200,154,5.0,5,20,0,0,1
275611112,82600,108,4.8,6,30,0,0,4
275421986,142000,270,5.0,34,29,1,1,8
275335272,80500,343,5.0,29,30,0,0,3
