ID,Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3,sentiment_llm_label_id_0,sentiment_llm_label_id_1,sentiment_llm_label_id_2
195573547,85000,367,5.0,20,23,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
192125806,80000,1767,5.0,57,24,0.0,1.0,3.0,13.0,1.0,1.0,10.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,13.0,0.0,0.0,3.0,14.0,0.0,0.0,2.0,15.0,0.0,2.0,15.0
191148802,189000,230,4.7,19,37,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0
174842858,108000,4879,5.0,313,23,3.0,3.0,18.0,58.0,4.0,0.0,30.0,48.0,1.0,0.0,0.0,81.0,1.0,0.0,21.0,60.0,3.0,2.0,20.0,57.0,2.0,0.0,5.0,75.0,7.0,14.0,61.0
106863963,145000,23516,4.8,6150,23,30.0,39.0,114.0,197.0,98.0,33.0,104.0,145.0,2.0,12.0,21.0,345.0,107.0,5.0,66.0,202.0,20.0,25.0,131.0,204.0,9.0,2.0,12.0,357.0,118.0,92.0,170.0
91625816,219000,1146,4.8,127,25,2.0,2.0,12.0,65.0,6.0,0.0,22.0,53.0,0.0,0.0,2.0,79.0,1.0,1.0,14.0,65.0,3.0,1.0,22.0,55.0,2.0,0.0,2.0,77.0,10.0,22.0,49.0
73222800,108000,2555,4.7,370,23,4.0,0.0,25.0,115.0,26.0,4.0,45.0,69.0,1.0,2.0,8.0,133.0,6.0,0.0,12.0,126.0,4.0,3.0,30.0,107.0,4.0,0.0,5.0,135.0,29.0,27.0,88.0
68585576,119000,21609,4.8,3587,13,29.0,47.0,95.0,118.0,26.0,9.0,119.0,135.0,4.0,14.0,11.0,260.0,25.0,2.0,44.0,218.0,4.0,8.0,89.0,188.0,0.0,0.0,15.0,274.0,60.0,70.0,159.0
65443438,195000,1147,4.8,121,24,1.0,4.0,17.0,31.0,1.0,0.0,15.0,37.0,0.0,0.0,1.0,52.0,0.0,0.0,7.0,46.0,0.0,1.0,10.0,42.0,0.0,1.0,3.0,49.0,3.0,15.0,35.0
54053152,209000,1001,4.8,115,25,0.0,6.0,21.0,18.0,2.0,1.0,12.0,30.0,0.0,0.0,2.0,43.0,1.0,0.0,4.0,40.0,2.0,0.0,6.0,37.0,0.0,0.0,2.0,43.0,3.0,12.0,30.0
