ID,Seller ID,Name,Price (After Discount),Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,URL
276948759,1,Sách Kinh Thánh - Tân Ước,355000,549000,511,5.0,63,35,https://tiki.vn/sach-kinh-thanh-tan-uoc-p276948759.html?spid=212212327
275625701,1,Sách Tinh Hoa Kinh Tế Học,471200,595000,384,5.0,189,21,https://tiki.vn/sach-tinh-hoa-kinh-te-hoc-p275625701.html?spid=275625704
275524304,1,Sách Quy Tắc Số 1 - Chiến Lược Đơn Giản Để Đầu Tư Hiệu Quả Chỉ Với 15 Phút Mỗi Tuần (Phil Town),153900,199000,76,4.2,5,23,https://tiki.vn/sach-quy-tac-so-1-chien-luoc-don-gian-de-dau-tu-hieu-qua-chi-voi-15-phut-moi-tuan-phil-town-p275524304.html?spid=275850079
274940704,53660,Combo Sách Tư Duy Ngược + Tư Duy Mở (Bộ 2 Cuốn),202200,277000,431,4.5,17,27,https://tiki.vn/combo-sach-tu-duy-nguoc-tu-duy-mo-bo-2-cuon-p274940704.html?spid=274940705
273356637,1,Sách Bác Hana,84900,109000,667,5.0,68,22,https://tiki.vn/sach-bac-hana-p273356637.html?spid=273356638
208198125,1,"Sách Dầu Mỏ, Tiền Bạc Và Quyền Lực (BC)",412000,599000,325,4.7,39,31,https://tiki.vn/sach-dau-mo-tien-bac-va-quyen-luc-bc-p208198125.html?spid=208198126
199030589,1,Sách Nhỏ là đẹp,102500,169000,354,5.0,21,39,https://tiki.vn/sach-nho-la-dep-p199030589.html?spid=199030590
188534650,1,Sách 7 Phương Pháp Đầu Tư Warren Buffett,112500,169000,154,4.7,14,33,https://tiki.vn/sach-7-phuong-phap-dau-tu-warren-buffett-p188534650.html?spid=188534651
185909477,1,Sách Tin Vào Chính Mình,52360,68000,1013,5.0,77,23,https://tiki.vn/sach-tin-vao-chinh-minh-p185909477.html?spid=185909479
185873053,1,Sách Bàn Về Tự Do (Tái Bản),122800,155000,464,4.8,37,21,https://tiki.vn/sach-ban-ve-tu-do-tai-ban-p185873053.html?spid=185873056
185242029,1,Sách Vũ Điệu Quỷ Satan,110600,158000,385,5.0,51,30,https://tiki.vn/sach-vu-dieu-quy-satan-p185242029.html?spid=185242030
179372235,1,Sách Câu Chuyện Nghệ Thuật (Tái bản),899000,1199000,172,5.0,31,25,https://tiki.vn/sach-cau-chuyen-nghe-thuat-tai-ban-p179372235.html?spid=179372236
176560456,1,Sách “Kinh Nghiệm Và Giáo Dục” (Experience And Education),63000,85000,289,4.8,21,26,https://tiki.vn/sach-kinh-nghiem-va-giao-duc-experience-and-education-p176560456.html?spid=176560457
158563273,4413,Giáo dục tình cảm,289000,289000,177,5.0,20,0,https://tiki.vn/giao-duc-tinh-cam-p158563273.html?spid=158563274
125528587,1,"Sách Thần Với Chả Thoại (Những Câu Chuyện ""Mệt Mỏi"" Về Các Vị Thần)",111000,159000,1386,4.8,242,30,https://tiki.vn/sach-than-voi-cha-thoai-nhung-cau-chuyen-met-moi-ve-cac-vi-than-p125528587.html?spid=125528588
