Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3
128000,5963,5.0,582,33,2.0,6.0,60.0,72.0,9.0,3.0,33.0,95.0,1.0,0.0,8.0,131.0,10.0,1.0,22.0,107.0,0.0,2.0,36.0,102.0,1.0,0.0,8.0,131.0
159000,4145,4.7,339,36,6.0,5.0,34.0,67.0,18.0,5.0,24.0,65.0,0.0,1.0,2.0,109.0,14.0,0.0,11.0,87.0,4.0,2.0,24.0,82.0,3.0,0.0,3.0,106.0
128000,5203,5.0,512,34,1.0,4.0,128.0,67.0,7.0,6.0,53.0,134.0,9.0,0.0,6.0,185.0,2.0,2.0,34.0,162.0,1.0,1.0,42.0,156.0,2.0,0.0,1.0,197.0
130000,11508,5.0,1281,25,3.0,3.0,58.0,133.0,12.0,1.0,79.0,105.0,1.0,0.0,12.0,184.0,6.0,0.0,61.0,130.0,6.0,6.0,64.0,121.0,4.0,0.0,7.0,186.0
95000,39630,5.0,6072,28,5.0,13.0,111.0,148.0,28.0,12.0,133.0,104.0,0.0,2.0,24.0,251.0,35.0,3.0,58.0,181.0,9.0,14.0,85.0,169.0,4.0,0.0,14.0,259.0
100000,6875,5.0,813,25,0.0,12.0,73.0,122.0,16.0,9.0,80.0,102.0,1.0,1.0,7.0,198.0,13.0,1.0,33.0,160.0,7.0,3.0,60.0,137.0,3.0,0.0,5.0,199.0
88000,24012,4.8,2538,23,9.0,11.0,90.0,95.0,15.0,2.0,60.0,128.0,0.0,4.0,9.0,192.0,13.0,0.0,46.0,146.0,5.0,3.0,58.0,139.0,0.0,0.0,12.0,193.0
190000,1621,4.8,113,25,1.0,3.0,22.0,24.0,8.0,2.0,11.0,29.0,0.0,0.0,3.0,47.0,1.0,0.0,7.0,42.0,0.0,0.0,6.0,44.0,0.0,0.0,4.0,46.0
198000,8435,4.8,960,25,1.0,2.0,26.0,160.0,17.0,7.0,108.0,57.0,1.0,1.0,9.0,178.0,18.0,1.0,27.0,143.0,8.0,5.0,67.0,109.0,4.0,0.0,6.0,179.0
159000,853,4.8,55,34,0.0,2.0,11.0,7.0,3.0,0.0,6.0,11.0,0.0,0.0,0.0,20.0,2.0,0.0,2.0,16.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,20.0
125000,107,5.0,23,5,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0
240000,226,5.0,9,30,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0
390000,240,5.0,18,35,0.0,0.0,1.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0
38000,16,5.0,3,8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
219350,54,5.0,2,0,2.0,4.0,53.0,76.0,8.0,1.0,35.0,91.0,0.0,0.0,8.0,127.0,5.0,0.0,18.0,112.0,1.0,2.0,33.0,99.0,3.0,0.0,4.0,128.0
381000,3,5.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
230350,884,4.7,190,0,4.0,7.0,65.0,224.0,39.0,19.0,129.0,113.0,2.0,3.0,31.0,264.0,15.0,2.0,81.0,202.0,11.0,14.0,102.0,173.0,2.0,1.0,18.0,279.0
239000,591,5.0,14,36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
169000,154,5.0,1,23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
132000,155,5.0,8,25,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
